Marker coordinates: x=264, y=235
Marker coordinates: x=264, y=235
Marker coordinates: x=228, y=207
Marker coordinates: x=240, y=221
Marker coordinates: x=240, y=221
Marker coordinates: x=273, y=294
Marker coordinates: x=273, y=294
Marker coordinates: x=252, y=183
Marker coordinates: x=252, y=183
Marker coordinates: x=237, y=172
Marker coordinates: x=237, y=172
Marker coordinates: x=224, y=217
Marker coordinates: x=229, y=181
Marker coordinates: x=229, y=181
Marker coordinates: x=178, y=194
Marker coordinates: x=178, y=194
Marker coordinates: x=183, y=209
Marker coordinates: x=183, y=209
Marker coordinates: x=167, y=170
Marker coordinates: x=167, y=170
Marker coordinates: x=196, y=229
Marker coordinates: x=196, y=229
Marker coordinates: x=169, y=208
Marker coordinates: x=169, y=208
Marker coordinates: x=161, y=200
Marker coordinates: x=137, y=157
Marker coordinates: x=137, y=157
Marker coordinates: x=175, y=190
Marker coordinates: x=175, y=190
Marker coordinates: x=160, y=207
Marker coordinates: x=160, y=207
Marker coordinates: x=175, y=172
Marker coordinates: x=179, y=172
Marker coordinates: x=179, y=172
Marker coordinates: x=153, y=144
Marker coordinates: x=153, y=144
Marker coordinates: x=158, y=192
Marker coordinates: x=158, y=192
Marker coordinates: x=191, y=213
Marker coordinates: x=172, y=170
Marker coordinates: x=172, y=170
Marker coordinates: x=160, y=189
Marker coordinates: x=160, y=189
Marker coordinates: x=199, y=221
Marker coordinates: x=199, y=221
Marker coordinates: x=168, y=169
Marker coordinates: x=168, y=169
Marker coordinates: x=145, y=158
Marker coordinates: x=185, y=211
Marker coordinates: x=185, y=211
Marker coordinates: x=179, y=190
Marker coordinates: x=179, y=190
Marker coordinates: x=179, y=196
Marker coordinates: x=179, y=196
Marker coordinates: x=186, y=222
Marker coordinates: x=186, y=222
Marker coordinates: x=157, y=146
Marker coordinates: x=157, y=146
Marker coordinates: x=248, y=390
Marker coordinates: x=248, y=390
Marker coordinates: x=385, y=114
Marker coordinates: x=385, y=114
Marker coordinates: x=355, y=132
Marker coordinates: x=355, y=132
Marker coordinates: x=322, y=141
Marker coordinates: x=322, y=141
Marker coordinates: x=287, y=166
Marker coordinates: x=282, y=198
Marker coordinates: x=282, y=198
Marker coordinates: x=335, y=164
Marker coordinates: x=335, y=164
Marker coordinates: x=299, y=216
Marker coordinates: x=340, y=172
Marker coordinates: x=340, y=172
Marker coordinates: x=342, y=195
Marker coordinates: x=342, y=195
Marker coordinates: x=340, y=184
Marker coordinates: x=340, y=184
Marker coordinates: x=331, y=226
Marker coordinates: x=331, y=226
Marker coordinates: x=382, y=201
Marker coordinates: x=382, y=201
Marker coordinates: x=357, y=243
Marker coordinates: x=391, y=208
Marker coordinates: x=391, y=208
Marker coordinates: x=305, y=197
Marker coordinates: x=305, y=197
Marker coordinates: x=356, y=237
Marker coordinates: x=356, y=237
Marker coordinates: x=344, y=241
Marker coordinates: x=344, y=241
Marker coordinates: x=336, y=178
Marker coordinates: x=336, y=178
Marker coordinates: x=336, y=211
Marker coordinates: x=337, y=203
Marker coordinates: x=337, y=203
Marker coordinates: x=405, y=270
Marker coordinates: x=405, y=270
Marker coordinates: x=352, y=262
Marker coordinates: x=352, y=262
Marker coordinates: x=437, y=295
Marker coordinates: x=363, y=305
Marker coordinates: x=363, y=305
Marker coordinates: x=424, y=283
Marker coordinates: x=424, y=283
Marker coordinates: x=363, y=276
Marker coordinates: x=363, y=276
Marker coordinates: x=323, y=262
Marker coordinates: x=316, y=252
Marker coordinates: x=316, y=252
Marker coordinates: x=324, y=252
Marker coordinates: x=324, y=252
Marker coordinates: x=301, y=257
Marker coordinates: x=301, y=257
Marker coordinates: x=346, y=282
Marker coordinates: x=346, y=282
Marker coordinates: x=307, y=258
Marker coordinates: x=307, y=258
Marker coordinates: x=298, y=262
Marker coordinates: x=322, y=260
Marker coordinates: x=322, y=260
Marker coordinates: x=315, y=246
Marker coordinates: x=315, y=246
Marker coordinates: x=360, y=298
Marker coordinates: x=360, y=298
Marker coordinates: x=355, y=267
Marker coordinates: x=355, y=267
Marker coordinates: x=352, y=264
Marker coordinates: x=352, y=264
Marker coordinates: x=341, y=244
Marker coordinates: x=344, y=273
Marker coordinates: x=344, y=273
Marker coordinates: x=358, y=254
Marker coordinates: x=358, y=254
Marker coordinates: x=321, y=235
Marker coordinates: x=321, y=235
Marker coordinates: x=376, y=264
Marker coordinates: x=348, y=248
Marker coordinates: x=348, y=248
Marker coordinates: x=372, y=258
Marker coordinates: x=372, y=258
Marker coordinates: x=330, y=237
Marker coordinates: x=330, y=237
Marker coordinates: x=301, y=225
Marker coordinates: x=290, y=225
Marker coordinates: x=290, y=225
Marker coordinates: x=286, y=206
Marker coordinates: x=286, y=206
Marker coordinates: x=289, y=232
Marker coordinates: x=289, y=232
Marker coordinates: x=271, y=261
Marker coordinates: x=271, y=261
Marker coordinates: x=315, y=296
Marker coordinates: x=315, y=296
Marker coordinates: x=350, y=249
Marker coordinates: x=364, y=195
